link,headline
b'https://thehill.com/homenews/house/313603-immigrants-to-king-our-legs-are-not-size-of-cantaloupes',"b""Young immigrants deliver cantaloupes to Rep. King's office on ..."""
b'https://www.victoryseeds.com/melons.html',b'Heirloom Muskmelons and Cantaloupe Seeds from the Victory Seed ...'
b'https://en.wiktionary.org/wiki/cantaloupe',b'cantaloupe - Wiktionary'
b'https://www.wsj.com/articles/SB10001424052970204138204576598951277668500',b'Tainted Cantaloupe Linked to 13 Deaths - WSJ'
b'https://www.usnews.com/news/blogs/washington-whispers/2013/08/01/cantaloupes-sent-to-representatives-who-voted-against-deferment',b'Cantaloupes Sent To Representatives Who Voted Against Deferment'
b'http://www.outbreakdatabase.com/search/?outbreak=cantaloupe',b'Search Results for [cantaloupe] : Foodborne Illness Outbreak ...'
b'https://cals.arizona.edu/fps/sites/cals.arizona.edu.fps/files/cotw/Cantaloupe.pdf',b'CANTALOUPE'
b'https://simple.wikipedia.org/wiki/Cantaloupe',"b'Cantaloupe - Simple English Wikipedia, the free encyclopedia'"
b'https://homeguides.sfgate.com/planting-cucumbers-near-cantaloupes-33336.html',b'Planting Cucumbers Near Cantaloupes | Home Guides | SF Gate'
b'https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-4557.1991.tb00060.x',b'CONSUMER PERCEPTIONS OF QUALITY: APRICOTS ...'
b'https://commons.wikimedia.org/wiki/File:Cantaloupes.jpg',b'File:Cantaloupes.jpg - Wikimedia Commons'
b'https://www.scpr.org/blogs/multiamerican/2013/07/25/14363/rep-steve-king-s-cantaloupes-comment-about-immigra/',"b""Rep. Steve King's 'cantaloupes' comment about immigrants draws ..."""
b'https://www.kingkullen.com/golden-jumbo-cantaloupes/',b'Golden Jumbo Cantaloupes - King Kullen'
b'https://www.aldi.us/en/grocery-goods/fresh-right-now/fresh-produce/fruits/fruits-detail/ps/p/cantaloupe/',b'Fresh Cantaloupe | ALDI US'
b'https://defeatdiabetes.org/resources/healthful-eating/fruits/cantaloupe-musk-melon/',b'Cantaloupe/Musk Melon > Defeat Diabetes Foundation'
b'https://www.westsiderag.com/2019/09/25/mystery-cantaloupes-growing-in-parking-lot-between-2-dumpsters-nice-to-have-nyc-kids-get-to-see-plants-growing',b'West Side Rag \xc2\xbb Mystery Cantaloupes Growing In Parking Lot ...'
b'https://www.sciencedirect.com/science/article/pii/S0168160517302866',b'Internalization of Listeria monocytogenes in cantaloupes during ...'
b'https://www.foodsafetynews.com/2011/03/cantaloupe-linked-to-12-salmonella-illnesses/',b'Cantaloupes Linked to 12 Salmonella Illnesses | Food Safety News'
b'https://www.nutrition-and-you.com/cantaloupe.html',b'7 amazing Cantaloupe melon nutrition facts and health benefits'
b'https://www.medicinenet.com/script/main/art.asp?articlekey=173314',b'Lessons Learned From Cantaloupe-Listeria Outbreak - MedicineNet'
b'https://extension.umd.edu/hgic/topics/cantaloupe',b'Cantaloupe | University of Maryland Extension'
b'https://www.bjs.com/product/cantaloupes-1-ct/3000000000000218143',"b'Cantaloupes, 1 ct. - BJs WholeSale Club'"
