link,headline
b'https://edis.ifas.ufl.edu/hs104',b'HS807/HS104: The Blackberry'
b'https://www.producemarketguide.com/produce/blackberries',b'Blackberries | Produce Market Guide'
b'https://www.heb.com/product-detail/fresh-blackberries/321290',b'Fresh Blackberries - Shop Berries & Cherries at H-E-B'
b'https://extension.umaine.edu/publications/2066e/',"b'Bulletin #2066, Growing Raspberries and Blackberries ...'"
b'https://www.kuow.org/stories/strange-twisted-story-behind-seattles-blackberries',"b""The strange, twisted story behind Seattle's blackberries - KUOW"""
b'https://www.raspberryblackberry.com/',b'The North American Raspberry & Blackberry Association'
b'https://draxe.com/nutrition/health-benefits-blackberries/',"b'Blackberries Health Benefits, Nutrition Facts and Recipes - Dr. Axe'"
b'https://extension.umd.edu/hgic/topics/raspberries-and-blackberries-brambles',b'Raspberries and Blackberries (brambles) | University of Maryland ...'
b'https://www.seattletimes.com/life/food-drink/the-pacific-northwests-better-and-native-blackberry/',"b""The Pacific Northwest's better (and native) blackberry | The Seattle ..."""
b'https://www.ncbi.nlm.nih.gov/pubmed/19356316',b'Effects of blackberries on motor and cognitive function in aged rats.'
b'https://extension2.missouri.edu/g6000',"b'Pruning Raspberries, Blackberries and Gooseberries | MU Extension'"
b'https://extension.uga.edu/publications/detail.html?number=C766&title=Home%20Garden%20Raspberries%20and%20Blackberries',b'Home Garden Raspberries and Blackberries | UGA Cooperative ...'
b'http://www.ca.uky.edu/agc/pubs/ho/ho15/ho15.pdf',b'HO-15: Growing Blackberries & Raspberries in Kentucky'
b'https://highlandorchards.net/pick-your-own-blackberries/',b'Pick Your Own Blackberries - Highland Orchards'
b'https://www.nutrition-and-you.com/blackberries.html',b'Blackberries nutrition facts and health benefits'
b'https://www.poetryfoundation.org/poems/50981/blackberry-picking',b'Blackberry-Picking by Seamus Heaney | Poetry Foundation'
b'https://fruitsandveggies.org/fruits-and-veggies/blackberries/',b'Blackberries - Have A Plant'
b'https://healthyeating.sfgate.com/benefits-eating-blackberries-4038.html',b'What Are the Benefits of Eating Blackberries? | Healthy Eating | SF ...'
b'https://www.organicfacts.net/health-benefits/fruit/blackberries.html',b'15 Best Blackberry Benefits | Organic Facts'
b'https://www.aldi.us/en/grocery-goods/fresh-right-now/fresh-produce/fruits/fruits-detail/ps/p/blackberries/',b'Blackberries | ALDI US'
b'https://nchfp.uga.edu/how/freeze/blackberry.html',b'National Center for Home Food Preservation | How Do I? Freeze'
b'https://www.alwaysfresh.com/blackberries',b'Blackberries - Always Fresh Farms'
b'https://www.merriam-webster.com/dictionary/blackberry',b'Blackberry | Definition of Blackberry by Merriam-Webster'
b'https://www.ralphs.com/p/berries-blackberries/0003338324000',"b'Berries - Blackberries, 6 oz - Ralphs'"
b'https://www.foodandwine.com/recipes/buttermilk-cake-blackberries',b'Buttermilk Cake with Blackberries Recipe | Food & Wine'
b'https://www.cnet.com/reviews/blackberry-bold-9900-t-mobile-review/',b'BlackBerry Bold 9900'
b'https://www.lemontreedwelling.com/baked-brie-with-wine-soaked-blackberries/',b'Baked Brie with Wine-Soaked Blackberries \xe2\x80\x93 Lemon Tree Dwelling'
b'https://oregon-berries.com/variety/',b'Varieties Archive - Oregon Raspberries & Blackberries'
b'https://www.livestrong.com/article/231114-what-are-the-health-benefits-of-blackberries/',b'What are the Health Benefits of Blackberries? | Livestrong.com'
b'https://www.monrovia.com/plant-catalog/plants/5486/baby-cakes-blackberry/',b'Baby Cakes\xe2\x84\xa2 Blackberry'
b'https://www.foodnetwork.com/recipes/ree-drummond/blackberry-cheesecake-squares-2308484',b'Blackberry Cheesecake Squares Recipe | Ree Drummond | Food ...'
b'https://www.gardeningknowhow.com/edible/fruits/blackberries/blackberry-pruning.htm',b'Blackberry Pruning \xe2\x80\x93 How To Trim Blackberry Bushes'
b'https://www.fruitsandberries.com/',"b""Doyle's Thornless Blackberry, Inc."""
b'https://www.tasteofhome.com/recipes/blackberry-balsamic-spinach-salad/',b'Blackberry Balsamic Spinach Salad Recipe | Taste of Home'
b'http://cesonoma.ucanr.edu/files/27140.pdf',b'BLACKBERRIES'
b'https://www.sherwin-williams.com/homeowners/color/find-and-explore-colors/paint-colors-by-family/SW7577-blackberry',b'Blackberry SW 7577 - Red Paint Color - Sherwin-Williams'
b'https://www.jellybelly.com/raspberries-and-blackberries-16-oz-re-sealable-bag/p/9001_RASP_BLACK',b'Raspberries and Blackberries - 16 oz Re-Sealable Bag'
b'https://www.homedepot.com/p/Sweet-Berry-Selections-Black-Satin-Thornless-Blackberry-Fruit-Bearing-Potted-Plant-BKBBSNAQT/203642896',b'Sweet Berry Selections Black Satin Thornless Blackberry Fruit ...'
b'https://thepioneerwoman.com/cooking/the_great_cobbl/',b'Blackberry Cobbler #1 | The Pioneer Woman'
b'https://www.verywellfit.com/blackberry-nutrition-facts-calories-and-health-benefits-4109221',b'Blackberry Nutrition Facts and Health Benefits'
b'https://themodernproper.com/blackberry-goat-cheese-salad',b'Blackberry Goat Cheese Salad | The Modern Proper'
b'https://anoregoncottage.com/triple-crown-thornless-blackberries/',b'5 Reasons To Grow Triple Crown Thornless Blackberries | An ...'
b'https://nutritionfacts.org/topics/blackberries/',b'blackberries | Health Topics | NutritionFacts.org'
b'https://www.thekitchn.com/recipe-blackberry-croissant-breakfast-bake-243966',b'Blackberry Croissant Breakfast Bake | Kitchn'
b'https://dinersjournal.blogs.nytimes.com/2008/08/26/deliciously-invasive-himalayan-blackberries-in-the-pacific-northwest/',b'Deliciously Invasive: Himalayan Blackberries in the Pacific Northwest'
b'https://rubus.ces.ncsu.edu/',b'Blackberry & Raspberry Information | NC State Extension'
b'https://bakerbynature.com/blackberries-and-cream-donuts/',b'Blackberries and Cream Donuts - Baker by Nature'
b'https://www.starkbros.com/products/berry-plants/blackberry-plants',"b""Blackberry Plants from Stark Bro's - Blackberry Plants For Sale"""
