link,headline
b'https://www.google.com/maps/search/?api=1&query=Blueberry%27s+Grill%2C+7931+N+Kings+Hwy+%23140%2C+Myrtle+Beach%2C+SC%2C+29572%2C+us&query_place_id=ChIJI1g-_sFlAIkRP5p2Yb4z_rA',"b""Blueberry's Grill, 7931 N Kings Hwy #140, Myrtle Beach, SC, 29572 ..."""
b'https://legislature.maine.gov/statutes/36/title36ch701sec0.html',"b'Title 36, Chapter 701: BLUEBERRY TAX'"
b'https://www.alyeskaresort.com/calendarevents/blueberry-festival',b'Blueberry Music Festival'
b'https://www.attitash.com/event/blueberryfest/',b'Blueberry Fest 2019 | Attitash Mountain Ski Area'
b'https://www.ihop.com/en/menu/pancakes/double-blueberry-pancakes',"b""IHOP\xc2\xae Double Blueberry Pancakes - Taste You'll Never Forget"""
b'https://historicbethlehem.org/blueberry-festival/',b'Blueberry Festival | Historic Bethlehem Museums & Sites'
b'https://umaine.edu/blueberryhillfarm/',b'Home - Blueberry Hill Farm - University of Maine'
b'https://www.kingarthurflour.com/recipes/blueberry-sourdough-muffins-recipe',b'Blueberry Sourdough Muffins | King Arthur Flour'
b'https://wildaboutberries.com/',b'Blueberry Hills Restaurant & Farm \xe2\x80\x93 Lake Chelan'
b'https://cookieandkate.com/healthy-blueberry-muffins/',b'Healthy Blueberry Muffins Recipe - Cookie and Kate'
b'https://airandspace.si.edu/support/wall-of-honor/alyssa-blueberry-carson',"b'Alyssa Blueberry"" Carson"" | National Air and Space Museum'"
b'https://www.bowhillblueberries.com/',b'Bow Hill Blueberries | Organic Heirloom Blueberry Products'
b'https://www.smoothieking.com/menu/smoothies/fitness-blends/the-activator-blueberry-strawberry',b'The Activator\xc2\xae Blueberry Strawberry Smoothie | Smoothie King'
b'https://www.noosayoghurt.com/product/blueberry/',b'blueberry | noosa'
b'https://2townsciderhouse.com/cider/blueberry-daze/',b'Blueberry Daze - 2 Towns Ciderhouse'
b'https://www.larabar.com/our-products/larabar/blueberry-muffin',b'Blueberry Muffin'
b'https://www.thecountrycook.net/blueberry-buckle-coffee-cake/',b'HOMEMADE BLUEBERRY BUCKLE (+Video) | The Country Cook'
b'https://www.forksoverknives.com/recipes/vegan-breakfast/banana-blueberry-bars/',b'Vegan Granola Bar Recipe: Banana Blueberry Bars'
b'https://bluebirddistilling.com/product/blueberry-brandy/',b'Blueberry Brandy - Bluebird Distilling'
b'https://www.ely.org/events/blueberry-art-festival',b'Blueberry/Arts Festival'
b'https://www.ams.usda.gov/grades-standards/blueberries-grade-and-standards',b'Blueberries Grade and Standards | Agricultural Marketing Service'
b'https://heatonist.com/products/ghost-pepper-blueberry-hot-sauce',b'Bravado Spice Co | Ghost Pepper & Blueberry Hot Sauce ...'
b'https://www2.dnr.state.mi.us/parksandtrails/Details.aspx?id=88&type=SFPW',b'Blueberry Ridge Pathway Detail'
b'https://gamechangersmovie.com/recipes/spelt-blueberry-pancakes/',b'Spelt Blueberry Pancakes | The Game Changers'
b'http://www.blueberryhillrestaurants.com/',b'Blueberry Hill Family Restaurants'
b'https://bellevuewa.gov/city-government/departments/parks/nature-and-environment/farms-gardens/blueberry-farms',b'Blueberry Farms | City of Bellevue'
b'https://sallysbakingaddiction.com/my-favorite-blueberry-scones/',"b""My Favorite Blueberry Scones | Sally's Baking Addiction"""
b'https://www.stonyfield.com/products/baby-kids/kids/pouches/blueberry-blitz',b'Stonyfield Organic Kids Blueberry - Low Fat Yogurt Pouch'
b'https://www.ncblueberryfestival.com/',b'NC Blueberry Festival'
b'https://www.inspiredtaste.net/18982/our-favorite-easy-blueberry-muffin-recipe/',b'Quick and Easy Blueberry Muffins'
b'https://store.steampowered.com/app/29160/Blueberry_Garden/',b'Blueberry Garden on Steam'
b'http://www.blueberryranch.com/',"b'The Blueberry Ranch (Mishawaka, IN) - Organic Blueberry Picking'"
b'https://nationaldaycalendar.com/national-blueberry-muffin-day-july-11/',b'NATIONAL BLUEBERRY MUFFIN DAY - July 11 - National Day ...'
b'https://www.dietcoke.com/products/diet-coke-blueberry-acai',b'Blueberry Acai | Shop Diet Coke\xc2\xae Flavors'
b'https://yogiproducts.com/teas/green-teas/green-tea-blueberry-slim-life/',b'Green Tea Blueberry Slim Life Tea | Yogi Tea'
b'https://stellarosawines.com/our-wines/stella-rosa-blueberry/',b'Stella Rosa Wines | Stella Rosa Blueberry'
b'https://www.bonappetit.com/recipe/blueberry-pecan-galette',b'Blueberry-Pecan Galette Recipe | Bon Appetit'
b'https://dutch-passion.com/en/cannabis-seeds/blueberry',b'Buy Blueberry\xc2\xae Feminised Seeds | Dutch Passion UK'
b'https://www.benjerry.com/flavors/red-white-blueberry-ice-cream',"b""Red, White & Blueberry Ice Cream | Ben & Jerry's"""
b'https://www.ewcoc.com/blueberry-festival.html',b'Blueberry Festival - EWCOC - LOCAL BUSINESS IS OUR BUSINESS'
b'https://bhs.longmeadow.k12.ma.us/',b'BLUEBERRY HILL SCHOOL'
b'https://blueberryhillfarm.net/',b'U Pick Fruit - Blueberries | Orlando | Clermont Blueberry Hill Farm'
b'http://www.wildblueberries.com/',b'Wild Blueberries: The Blueberriest Blueberry'
b'http://blueberryfestival.org/pg/stomp.html',b'Blueberry Stomp'
b'http://dnr.alaska.gov/parks/aspunits/kenai/blueberrylksrs.htm',b'Blueberry Lake State Recreation Site'
b'https://www.blueberry-haven.com/',b'Blueberry Haven: Front Page'
