link,headline
b'https://www.lushusa.com/hair/shampoo-bars/avocado-co-wash/9999905940.html',b'Avocado Co-Wash | Solid Shampoo | Lush Cosmetics'
b'https://torchystacos.com/food/fried-avocado/',"b""Fried Avocado - Torchy's Tacos"""
b'https://edis.ifas.ufl.edu/mg213',b'CIR1034/MG213: Avocado Growing in the Florida Home Landscape'
b'https://healthyavocado.com/',b'Healthy Avocado'
b'https://thebreakthrough.org/journal/no-12-winter-2020/avocado-politics',b'The Coming Avocado Politics | The Breakthrough Institute'
b'https://www.buffalowildwings.com/en/food/mains/burgers/avocado-bacon-burger/',b'AVOCADO BACON BURGER $ Price Varies'
b'https://www.glowrecipe.com/products/avocado-melt-retinol-sleeping-mask',b'Avocado Melt Retinol Sleeping Mask - Glow Recipe'
b'https://service.avocadogreenmattress.com/hc/en-us',b'AVOCADO'
b'https://hort.purdue.edu/newcrop/morton/avocado_ars.html',b'Avocado'
b'https://www.fallbrookchamberofcommerce.org/events-v2/avocado-festival.html',b'Avocado Festival - Fallbrook Chamber of Commerce'
b'https://www.primalkitchen.com/collections/avocado-oil',b'Avocado & Olive Oil - Primal Kitchen'
b'https://labs.ideo.com/2014/05/27/avocado/',b'Avocado'
b'https://www.nytimes.com/2019/07/15/fashion/avocado-dye-is-naturally-millennial-pink.html',"b'Avocado Dye Is, Naturally, Millennial Pink - The New York Times'"
b'https://www.calorieking.com/us/en/foods/f/calories-in-fresh-fruits-avocados-average-all-varieties-raw/zU9a9g9oQ5W3RHKaVFtG7A',"b'Calories in Avocados, average all varieties, raw | CalorieKing'"
b'https://angelcitybrewery.com/event/avocado-fest/',b'Avocado Fest - Angel City Brewery'
b'https://www.calorieking.com/us/en/foods/f/calories-in-fresh-fruits-avocados-average-all-varieties-raw/zU9a9g9oQ5W3RHKaVFtG7A',"b'Calories in Avocados, average all varieties, raw | CalorieKing'"
b'https://www.kroger.com/p/avocado-large/0000000004225',"b'Avocado - Large, 1 ct - Kroger'"
b'https://www.simplyrecipes.com/recipes/how_to_cut_and_peel_an_avocado/',b'How to Cut and Peel an Avocado | SimplyRecipes.com'
b'https://unsplash.com/s/photos/avocado',b'750+ Avocado Pictures [HD] | Download Free Images on Unsplash'
b'https://www.consumerreports.org/products/mattress/avocado-green-392925/overview/',b'Avocado Green mattress - Consumer Reports'
b'https://www.google.com/maps/search/?api=1&query=Howard%27s+Famous+Bacon+and+Avocado+Burgers&query_place_id=ChIJqXbQ9ke6woARq81I7DHeg7k',"b""Howard's Famous Bacon and Avocado Burgers - Google Maps"""
b'https://blueavocado.org/',b'Blue Avocado: Home'
b'https://www.ecowatch.com/6-reasons-to-eat-an-avocado-1881939442.html',b'6 Reasons to Eat an Avocado - EcoWatch'
b'https://colourpop.com/products/avocado-face-milk-moisturizer',b'Avocado Moisturizing Face Milk | ColourPop'
b'https://github.com/jmschrei/avocado',b'jmschrei/avocado: Avocado is a multi-scale deep tensor ... - GitHub'
b'https://www.benjaminmoore.com/en-us/color-overview/find-your-color/color/2145-10/avocado',b'Avocado 2145-10 | Benjamin Moore'
b'https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/avocado',b'Avocado | ASPCA'
b'https://www.facebook.com/avocadoathens/',b'Avocado: Food For Life - Vegetarian/Vegan Restaurant - Athens ...'
b'https://www.curbed.com/2018/5/15/17345156/avocado-toast-millennials-cant-afford-homes-tim-gurner',"b'Avocado toast homeownership meme, explained - Curbed'"
b'https://seths.blog/2019/04/the-avocado-principles/',"b""The avocado principles | Seth's Blog"""
b'https://angelcitybrewery.com/beer/avocado-ale/',b'Avocado Ale - Angel City Brewery'
b'https://www.dafont.com/avocado-creamy.font',b'Avocado Creamy Font | dafont.com'
b'https://gimmedelicious.com/how-to-make-the-best-avocado-toast-with-eggs/',b'Healthy 5 Minute Avocado Toast | Gimme Delicious'
