link,headline
b'https://www.marketwatch.com/story/blackberrys-use-of-non-standard-metrics-violates-sec-rules-2019-06-26',b'BlackBerry violates SEC rules with use of non-standard metrics ...'
b'https://swdownloads.blackberry.com/Downloads/contactFormPreload.do?code=A8BAA56554F96369AB93E4F3BB068C22&dl=A2C0D61EB187AB3AFD247A852FAD3647',b'Software Download for BlackBerry Support'
b'https://bizblog.blackberry.com/2013/12/john-chen-open-letter/',"b""John Chen's Open Letter | Inside BlackBerry for Business Blog"""
b'https://www.cnet.com/news/blackberry-going-all-in-on-android-phones-for-now/',b'BlackBerry going all-in on Android phones - CNET'
b'https://www.allaboutcookies.org/mobile/blackberry-Z10.html',b'How to manage cookies and clear browsing data on Blackberry Z10'
b'https://www.cnbc.com/quotes/?symbol=BB-CA',"b'BB-CA: BlackBerry - Stock Price, Quote and News - CNBC'"
b'https://mmlafleur.com/shop/deneuve-blackberry',b'The Deneuve Top - Blackberry | M.M.LaFleur'
b'https://www.poetryfoundation.org/poems/50981/blackberry-picking',b'Blackberry-Picking by Seamus Heaney | Poetry Foundation'
b'https://blackberry.certicom.com/',b'BlackBerry Certicom Official Home Page - Protecting content ...'
b'https://www.forbes.com/sites/parmyolson/2015/05/26/blackberry-iphone-book/',"b""BlackBerry's Famous Last Words At 2007 iPhone Launch: 'We'll Be ..."""
b'https://www.sherwin-williams.com/homeowners/color/find-and-explore-colors/paint-colors-by-family/SW7577-blackberry',b'Blackberry SW 7577 - Red Paint Color - Sherwin-Williams'
b'https://www.cio.com/article/2420126/blackberry-security-basics--five-tips-to-keep-your-smartphone-safe.html',b'BlackBerry Security Basics: Five Tips to Keep Your Smartphone Safe'
b'https://business.financialpost.com/tag/blackberry-ltd',"b'BlackBerry Ltd. News, Articles & Images | Financial Post'"
b'https://www.drinkhint.com/products/blackberry-hint-water',"b'Flavored Still Water, Blackberry 16 oz by Hint'"
b'https://www.kingcounty.gov/services/environment/animals-and-plants/noxious-weeds/weed-identification/blackberry.aspx',b'Himalayan blackberry identification and control: Rubus armeniacus ...'
b'https://www.blackberryfarmshop.com/',b'Blackberry Farm'
b'https://bbs.utdallas.edu/blackberryproject/',b'THE BLACKBERRY PROJECT - School of Behavioral and Brain ...'
b'https://www.vice.com/en_us/article/kz9kaa/exclusive-canada-police-obtained-blackberrys-global-decryption-key-how',"b""Exclusive: Canadian Police Obtained BlackBerry's Global ..."""
b'https://www.wsj.com/articles/behind-the-rise-and-fall-of-blackberry-1432311912',b'The Inside Story of How the iPhone Crippled BlackBerry - WSJ'
b'https://www.lushusa.com/bath/bath-bombs/blackberry/9999909280.html',b'Blackberry | Bath Bombs | Lush Cosmetics'
b'https://www.republicoftea.com/blackberry-sage-black/p/v00590/',b'Blackberry Sage Black Tea Bags | The Republic of Tea'
b'https://bb.wd3.myworkdayjobs.com/BlackBerry/jobs',b'BlackBerry'
b'https://www.foxtheatre.org/events/detail/blackberry-smoke',"b'Blackberry Smoke, The Allman Betts Band, The Wild Feathers and ...'"
b'https://www.thesylvee.com/events/blackberry-smoke/',b'Blackberry Smoke - The Sylvee'
b'https://www.amazon.com/Spindrift-Sparkling-Blackberry-Flavored-Squeezed/dp/B078NCKG46',"b'Spindrift Sparkling Water, Blackberry Flavored, Made with Real ...'"
b'https://www.adagio.com/flavors/blackberry.html',b'Blackberry Tea'
b'https://www.blackberryinn.com/',"b'Blackberry Inn | Boutique Bed & Breakfast in Camden, Maine'"
b'https://www.politico.com/blogs/under-the-radar/2016/06/hillary-clinton-emails-probe-blackberry-224154',"b""Hillary Clinton BlackBerry photo led to State official's query about ..."""
b'https://www.cupertino.org/our-city/departments/parks-recreation/outdoor-activities/blackberry-farm',"b'Blackberry Farm | City of Cupertino, CA'"
b'https://techcrunch.com/2020/02/03/blackberry-and-tcl-will-end-their-handset-partnership-in-august-2020/',b'BlackBerry and TCL will end their handset partnership in August 2020'
b'http://ipm.ucanr.edu/PMG/PESTNOTES/pn7434.html',b'Wild Blackberries Management Guidelines--UC IPM'
b'https://www.blackberry-inn.com/',"b'Blackberry Inn, Yosemite CA | Peaceful B&B Near Yosemite ...'"
b'https://www.merriam-webster.com/dictionary/blackberry',b'Blackberry | Definition of Blackberry by Merriam-Webster'
b'https://www.healthline.com/nutrition/black-raspberry-vs-blackberry',"b""Black Raspberry vs. Blackberry: What's the Difference?"""
b'https://blackberrymeadows.com/',b'Blackberry Meadows Farm: Allegheny grown organic food'
b'https://www.raspberryblackberry.com/',b'The North American Raspberry & Blackberry Association'
b'http://www.nbcnews.com/id/28780205/ns/technology_and_science-tech_and_gadgets/t/obama-gets-keep-his-blackberry/',b'President Obama gets to keep his BlackBerry - Technology ...'
b'https://www.recreation.gov/camping/campgrounds/233964',b'Blackberry | Recreation.gov'
