link,headline
b'https://www.newyorker.com/magazine/2011/01/10/we-have-no-bananas',b'We Have No Bananas | The New Yorker'
b'https://www.dole.com/products/bananas',b'Bananas | Dole.com'
b'https://www.beyondthepeel.com/',b'Equal Exchange - Bananas'
b'https://nutritionfacts.org/topics/bananas/',b'Bananas and Nutrition: The Latest Research | NutritionFacts.org'
b'https://www.jewelosco.com/shop/product-details.184060007.html',b'Banana - Each - Online Groceries | Jewel-Osco'
b'https://snaped.fns.usda.gov/seasonal-produce-guide/bananas',b'Bananas | SNAP-Ed'
b'https://www.usatoday.com/story/life/books/2018/09/17/chrissy-teigens-famous-banana-bread-recipe/1283473002/',"b""Banana bread: Bake Chrissy Teigen's recipe in coronavirus ..."""
b'https://www.bananasfunpark.com/',b'Bananas Fun Park | Family Fun & Birthday Parties | Grand Junction ...'
b'https://shop.raleys.com/shop/categories/6',"b""Bananas | Raley's"""
b'http://www.c3teachers.org/inquiries/bananas/',b'Bananas - C3 Teachers'
b'https://shop.wegmans.com/shop/categories/78',b'Bananas | Wegmans'
b'https://www.wsj.com/articles/amazons-latest-market-disruption-1-7-million-free-bananas-1495463629',"b""Amazon's Latest Market Disruption: 1.7 Million Free Bananas - WSJ"""
b'https://www.gonbananas.com/',"b""Go 'N Bananas Family Fun Center | Lancaster, PA"""
b'https://www.theguardian.com/environment/green-living-blog/2010/jul/01/carbon-footprint-banana',"b""What's the carbon footprint of \xe2\x80\xa6 a banana? | Environment | The ..."""
b'https://www.businessinsider.com/bananas-the-best-selling-item-at-walmart-2013-9',b'Bananas The Best-Selling Item At Walmart - Business Insider'
b'https://www.fredmeyer.com/p/banana/0000000004011',"b'Banana, 1 ct - Fred Meyer'"
b'https://www.kroger.com/p/banana/0000000004011',"b'Banana, 1 ct - Kroger'"
b'https://www.bbc.com/news/science-environment-44712034',b'Yes! We have no bananas: Why the song may come true again ...'
b'https://www.flexport.com/blog/supply-chain-of-the-banana/',b'Why the Bananas You Love May Go Extinct (Again)'
b'https://www.forksoverknives.com/recipes/vegan-breakfast/just-bananas-muffins/',b'Just Bananas Muffins | Forks Over Knives'
b'https://www.schwans.com/products/product?id=51481',b'Go Bananas Ice Cream'
b'https://family.gonoodle.com/activities/go-bananas',b'Go Bananas - GoNoodle'
b'https://www.instagram.com/realjohnnybananas/?hl=en',b'Johnny Bananas (@realjohnnybananas) \xe2\x80\xa2 Instagram photos and ...'
b'https://www.instagram.com/realjohnnybananas/?hl=en',b'Johnny Bananas (@realjohnnybananas) \xe2\x80\xa2 Instagram photos and ...'
b'https://www.nature.com/articles/d41586-019-02770-7',"b""CRISPR might be the banana's only hope against a deadly fungus"""
b'http://www.fao.org/economic/est/est-commodities/bananas/bananafacts/en/',b'EST: Banana facts'
b'https://www.meijer.com/shop/en/produce/fruit/bananas/c/L4-250',"b'Bananas | Meijer Grocery, Pharmacy, Home & More!'"
b'https://www.samsclub.com/p/bananas-3-lbs/156801',"b""Bananas (3 lbs.) - Sam's Club"""
b'https://crispygreen.com/products/banana/',b'Freeze-Dried Banana Slices | Crispy Green | Our Products'
b'https://www.newsweek.com/scientists-orange-bananas-vitamin-uganda-633136',b'Bananas: Scientists Create Vitamin A-Rich Fruit That Could Save ...'
b'https://dizzybusyandhungry.com/pan-fried-cinnamon-bananas/',b'Pan Fried Cinnamon Bananas | Dizzy Busy and Hungry!'
b'https://bananas.toys/',"b'Bananas - Scented, Peelable & Collectible Toys'"
b'https://www.ralphs.com/p/banana/0000000004011',"b'Banana, 1 ct - Ralphs'"
b'https://www.allrecipes.com/recipe/20144/banana-banana-bread/',b'Banana Banana Bread Recipe - Allrecipes.com'
b'https://www.neworleans.com/restaurants/traditional-new-orleans-foods/bananas-foster/',b'Bananas Foster recipe: A traditional New Orleans dessert'
b'https://www.newscientist.com/article/dn9152-a-future-with-no-bananas/',b'A future with no bananas? | New Scientist'
b'https://grocery.walmart.com/ip/Bananas-each/44390948',b'Frozen'
b'https://bananas.openttd.org/',b'OpenTTD - BaNaNaS'
b'https://www.theverge.com/2017/5/22/15675594/amazon-community-banana-stand-seattle',b'Amazon hired banistas and bananagers to give away 1.7 million ...'
b'https://www.forbes.com/sites/quora/2016/10/18/yes-bananas-are-radioactive-and-yes-you-should-keep-eating-them-anyway/',"b'Yes, Bananas Are Radioactive, And Yes, You Should Keep Eating ...'"
b'https://www.frysfood.com/p/banana/0000000004011',"b""Banana, 1 ct - Fry's Food Stores"""
b'https://www.toofaced.com/product/23477/63720/face-makeup/powder/its-bananas-setting-powder',"b""It's Bananas Setting Powder | Too Faced"""
b'http://www.caviarandbananas.com/location/george-street/',b'Downtown Charleston - Caviar & Bananas'
