link,headline
b'https://www.powerade.com/products/powerade/citrus-passionfruit/',b'POWERADE\xc2\xae CITRUS PASSIONFRUIT - SPORTS DRINK ...'
b'https://www.dwhome.com/products/love',b'Love | Peony & Passionfruit \xe2\x80\x93 DW Home Candles'
b'https://threenotchdbrewing.com/beer/passionfruit-gose/',b'Passionfruit Gose'
b'https://www.merriam-webster.com/dictionary/passion%20fruit',b'Passion Fruit | Definition of Passion Fruit by Merriam-Webster'
b'https://jenis.com/flavors/frozen-yogurts/passion-fruit-frozen-yogurt/',"b""Passionfruit Frozen Yogurt - Jeni's Splendid Ice Creams"""
b'https://www.republicoftea.com/passionfruit-mango-red-tea/p/v00711/',b'Passionfruit Mango Red Tea Bags | The Republic of Tea'
b'http://saltandwind.com/recipes/491-passionfruit-mojito-cocktail-recipe',b'Passionfruit Mojito Cocktail'
b'https://www.whosampled.com/sample/488824/Drake-Passionfruit-Moodymann-Live-%40-Cutloose-2nd-Birthday-Party/',"b""Drake's 'Passionfruit' sample of Moodymann's 'Live @ Cutloose 2nd ..."""
b'https://www.seagramsescapes.com/flavors/passionfruit-mango/',"b""Passionfruit Mango - Seagram's Escapes"""
b'https://en.m.wikipedia.org/wiki/Banana_passionfruit',b'Banana passionfruit - Wikipedia'
b'https://www.zevia.com/products/organic-tea/caffeine-free-hibiscus-passionfruit',b'Caffeine Free Hibiscus Passionfruit | Zevia'
b'https://yachak.com/product/passionfruit/',b'Passionfruit - Yachak Organic'
b'https://www.vitacoco.com/products/sparkling/pineapple-passionfruit',b'Vita Coco Sparkling Pineapple Passionfruit'
b'https://halftimebeverage.com/harpoon-ufo-passionfruit-24368',b'Harpoon Ufo Passionfruit - Harpoon Brewery - Buy Beer Online at ...'
b'https://seraphinebotanicals.com/products/passionfruit-mango-body-butter',b'Passionfruit + Mango - Body Butter \xe2\x80\x93 Seraphine Botanicals'
b'http://www.bellsbeer.com/beer/seasonal/larrys-latest-flamingo-fruit-fight',"b""Flamingo Fruit Fight Passionfruit and Lime Tart Ale | Bell's Brewery ..."""
b'https://www.perfectlyposh.com/absolute-passionfruit/SJ5010.html?lang=en_US',b'Absolute Passionfruit | Perfectly Posh'
b'https://www.foodnetwork.com/recipes/valerie-bertinelli/passionfruit-mousse-8091580',b'Passionfruit Mousse Recipe | Valerie Bertinelli | Food Network'
b'https://www.valrhona-chocolate.com/passion-fruit-inspiration-500g-baking-bag.html',b'Exquisite Passion Fruit Inspiration Chocolate | Valrhona'
b'https://www.oceanspray.com/Products/Juices/By-Type/Pink/Pink-Cranberry-Passionfruit-Juice-Drink',b'Pink Cranberry Passionfruit Juice Drink | Ocean Spray\xc2\xae'
b'https://limecrime.com/products/passionfruit-metallic-lipstick',b'Passionfruit Metallic Lipstick \xe2\x80\x93 Lime Crime'
b'https://www.ladym.com/items/lg-passionfruit-mc',b'Passion Fruit Mille Cr\xc3\xaapes - 9 inches \xc2\xb7 Lady M'
b'https://www.behr.com/consumer/ColorDetailView/190B-5',b'Juicy Passionfruit 190B-5 | Behr Paint Colors'
b'https://www.davidstea.com/us_en/tea/green-passionfruit/10495US01VAR0021547.html',b'Green Passionfruit'
b'https://www.pureleaf.com/us/products/passionfruit-pineapple-hibiscus-teahouse-collection-herbal-iced-tea',b'Passionfruit & Pineapple Hibiscus Teahouse Collection Herbal Iced ...'
b'https://saltandstraw.com/products/cloudforest-vanilla-w-passionfruit-dark-chocolate',b'Cloudforest Vanilla w/ Passionfruit & Dark Chocolate | Salt & Straw'
b'https://www.walmart.com/ip/Corona-Refresca-Passionfruit-Lime-Mexican-Spiked-Refresher-6-pk-12-fl-oz-Cans-4-5-ABV/547384433',"b'Corona Refresca Passionfruit Lime Mexican Spiked Refresher, 6 pk ...'"
b'http://missionbrewery.com/blog/2016/12/9/passionfruit-gose',b'Passionfruit Gose \xe2\x80\x94 Mission Brewery'
b'https://en.wiktionary.org/wiki/passionfruit',b'passionfruit - Wiktionary'
b'https://www.dictionary.com/browse/passionfruit',b'Passionfruit | Definition of Passionfruit at Dictionary.com'
b'https://www.artoftea.com/passionfruit-jasmine-award-winning.html',b'Passionfruit Jasmine Black Tea | Black Jasmine Tea'
b'https://jennylemons.com/collections/home-decor/products/passionfruit-trophy',b'Passionfruit Trophy - Jenny Lemons'
b'https://zico.com/project/zico-coco-refresh-sweet-mango-passionfruit-flavored-16-9oz/',b'ZICO coco-refresh sweet mango passionfruit flavored | 16.9oz | ZICO ...'
b'https://www.stashtea.com/products/mango-passionfruit-herbal-tea-bagged',b'Mango Passionfruit Herbal Tea Bags | Stash Tea'
b'https://www.theguardian.com/food/2019/may/11/meera-sodhas-recipe-for-vegan-chocolate-passion-fruit-and-olive-oil-cake',"b""Meera Sodha's recipe for vegan chocolate, passion fruit and olive oil ..."""
b'https://officialxtend.com/products/xtend-elite-citrus-passionfruit',b'XTEND Elite | Citrus Passionfruit'
b'https://www.perfectpuree.com/product/passion-fruit-concentrate/',b'Passion Fruit Concentrate - The Perfect Puree of Napa Valley'
b'https://www.crfg.org/pubs/ff/passionfruit.html',b'PASSION FRUIT Fruit Facts'
b'https://www.azlyrics.com/lyrics/drake/passionfruit.html',b'Drake - Passionfruit Lyrics | AZLyrics.com'
b'https://northcoastbrewing.com/beers/seasonal-beers/passion-fruit-peach-berliner-weisse/',b'Passion Fruit-Peach Berliner Weisse | North Coast Brewing Co.'
b'https://noevalleybakery.com/products/lemon-passionfruit-cake',b'Lemon Passionfruit Cake - Noe Valley Bakery'
b'https://www.gordonramsayrestaurants.com/recipes/mango-white-chocolate-and-passion-fruit-parfaits/',"b'Mango, White Chocolate and Passion Fruit Parfaits | Dessert ...'"
b'https://www.ncbi.nlm.nih.gov/pubmed/25346913',b'the intake of fiber mesocarp passionfruit (passiflora edulis)'
b'https://crypticsim.tumblr.com/post/180694444347/passionfruit-liner-the-passionfruit-liner-is-a',b'PASSIONFRUIT LINER The Passionfruit Liner is a... : CRYPTICSIM'
b'https://www.atlasobscura.com/foods/banana-passionfruit',b'Banana Passionfruit - Gastro Obscura'
b'https://www.beeradvocate.com/beer/profile/22564/354727/',b'Fruitsicle - Passionfruit Mango | Odd Side Ales | BeerAdvocate'
b'http://www.tradewindsfruit.com/content/passionfruit.htm',b'Passion Fruit - Passiflora edulis - Seeds'
b'https://www.beeradvocate.com/beer/profile/22843/124414/',b'Passionfruit Sour Ale | Breakside Brewery | BeerAdvocate'
b'https://troegs.com/beer/passionfruit-guava-tart-ale/',b'Passionfruit & Guava Tart Ale - Tr\xc3\xb6egs Independent Brewing'
