link,headline
b'http://go.unl.edu/raspberry',b'Growing Raspberries'
b'https://sallysbakingaddiction.com/raspberry-chocolate-coffee-cake/',"b""Dark Chocolate Raspberry Coffee Cake | Sally's Baking Addiction"""
b'https://www.food.com/about/raspberry-287',b'Raspberry - Kitchen Dictionary - Food.com'
b'https://education.mrsec.wisc.edu/titanium-dioxide-raspberry-solar-cell/',b'Titanium Dioxide Raspberry Solar Cell \xe2\x80\x93 MRSEC Education Group ...'
b'https://heidisraspberryfarm.com/',"b""Heidi's Raspberry Farm \xe2\x80\x93 Organic Raspberry Jams made in ..."""
b'https://education.mrsec.wisc.edu/titanium-dioxide-raspberry-solar-cell/',b'Titanium Dioxide Raspberry Solar Cell \xe2\x80\x93 MRSEC Education Group ...'
b'https://heidisraspberryfarm.com/',"b""Heidi's Raspberry Farm \xe2\x80\x93 Organic Raspberry Jams made in ..."""
b'https://www.foodnetwork.com/recipes/tyler-florence/truffle-tarts-with-raspberries-recipe-1953659',b'Truffle Tarts with Raspberries Recipe | Tyler Florence | Food Network'
b'https://en.wiktionary.org/wiki/raspberry',b'raspberry - Wiktionary'
b'https://www.starkbros.com/products/berry-plants/raspberry-plants',"b""Raspberry Plants From Stark Bro's - Raspberry Bushes For Sale"""
b'https://damndelicious.net/2014/05/19/raspberry-sunrise-smoothie/',b'Raspberry Sunrise Smoothie - Damn Delicious'
b'https://redrazz.org/',b'Red Razz: Home'
b'https://extension.psu.edu/red-raspberry-production',b'Red Raspberry Production'
b'https://www.berrihealth.com/',"b'BerriHealth.com - Premium Black Raspberry Powder, Berry Powers ...'"
b'https://www.raspberries.us/',b'Raspberries - Growing Raspberries - Raspberry Varieties'
b'https://www.raspberryknoll.com/',"b""Raspberry Knoll \xe2\x80\x93 Northeastern Connecticut's Premier Pick-Your ..."""
b'https://www.webmd.com/vitamins/ai/ingredientmono-1262/raspberry-ketone',"b'Raspberry Ketone: Uses, Side Effects, Interactions, Dosage, and ...'"
b'https://10barrel.com/beer/raspberry-crush/',b'Raspberry Crush \xe2\x80\x93 10 Barrel Brewing Co.'
b'https://www.nejm.org/doi/full/10.1056/NEJM199705293362202',b'An Outbreak in 1996 of Cyclosporiasis Associated with Imported ...'
b'https://www.culvers.com/flavor-of-the-day/red-raspberry',"b""Red Raspberry | Flavor of the Day | Culver's"""
b'https://www.livescience.com/39972-raspberry-ketone-supplement-facts.html',b'What Is Raspberry Ketone?'
b'https://www.red-raspberry.org/',b'Red Raspberry Commission'
b'https://bearlake.org/event/bear-lake-raspberry-days/',b'Bear Lake Raspberry Days in Garden City Utah - Official Festival ...'
b'https://holistickenko.com/black-raspberries/',"b'Black Raspberries - Cancer Fighting, Acid Reflux Inhibiting - Holistic ...'"
b'https://www.lacuevafarm.com/',b'La Cueva Farm'
b'https://thepioneerwoman.com/cooking/raspberry-crisp/',b'Raspberry Crisp | The Pioneer Woman'
b'https://www.flickr.com/photos/calliope/225231412',b'raspberries | They were so pretty I saved them an extra day \xe2\x80\xa6 | Flickr'
b'https://vpm.org/watch/articles/11630/create-an-elegant-pavlova-with-raspberries-dessert',b'Create An Elegant Pavlova with Raspberries Dessert | VPM'
b'https://www.walmart.com/ip/Kellogg-s-Special-K-Breakfast-Cereal-Raspberry-Value-Size-18-1-Oz/242162948',"b""Kellogg's Special K Breakfast Cereal, Raspberry, Value Size, 18.1 Oz"""
b'https://untapped.cc/raspberry-waffle/',b'Raspberry Waffle - UnTapped'
b'https://www.nytimes.com/2010/08/01/magazine/01food-t-000.html',"b'Recipe Redux: Raspberry Vinegar, 1900 - The New York Times'"
b'https://www.twopeasandtheirpod.com/raspberry-sweet-rolls/',b'Raspberry Sweet Rolls Recipe'
b'https://www.etymonline.com/word/raspberry',b'raspberry | Origin and meaning of raspberry by Online Etymology ...'
b'https://www.jungseed.com/category/669',b'Raspberry: Jung Seed Company'
b'https://www.simplyquinoa.com/no-bake-raspberry-quinoa-cookies/',b'No-Bake Raspberry Quinoa Cookies - Simply Quinoa'
b'https://oregon-berries.com/',b'Oregon Berries'
b'https://bakerbynature.com/lemon-raspberry-cake/',b'Lemon Raspberry Cake'
b'https://www.daily-harvest.com/browse/smoothie/tart-cherry-raspberry',b'Tart Cherry + Raspberry Smoothie | Daily Harvest'
b'https://www.wildflower.org/plants/result.php?id_plant=RUOD',b'Rubus odoratus (Purple-flowering raspberry) | Native Plants of North ...'
b'https://pinchofyum.com/inner-goddess-raspberry-breakfast-bowls',b'Inner Goddess Raspberry Breakfast Bowls Recipe - Pinch of Yum'
b'https://www.sunset.com/recipe/chocolate-raspberry-tart',b'Chocolate Raspberry Tart Recipe - Sunset Magazine'
b'https://projects.raspberrypi.org/en/projects/raspberry-pi-setting-up/4',b'Setting up your Raspberry Pi'
b'https://democratherald.com/news/local/editorial-roses-and-raspberries/article_4bb7d71f-901f-5687-8a86-5e584862225c.html',b'Editorial: Roses and Raspberries | Local | democratherald.com'
b'https://raspberryshake.org/',b'Raspberry Shake: Earthquake & Earth Monitoring Solutions'
b'https://www.myrecipes.com/recipe/raspberry-lemonade-spritzer',b'Raspberry-Lemonade Spritzer Recipe | MyRecipes'
