state,region,keyword,volume,Apr-19,Aug-19,Dec-19,Feb-20,Jan-20,Jul-19,Jun-19,Mar-20,May-19,Nov-19,Oct-19,Sep-19
Arkansas,South,grapefruits,720,720,720,720,880,1000,720,720,880,720,720,590,720
Arkansas,South,grapes,880,880,1000,720,880,880,1000,880,880,880,880,1000,1000
Arkansas,South,guava,880,1000,880,720,880,880,880,880,880,880,880,720,720
Arkansas,South,kiwifruit,210,260,170,140,210,210,260,320,210,260,170,140,170
Arkansas,South,lemons,1300,1600,1300,1000,1300,1300,1600,1600,1600,1600,1000,1000,1300
Arkansas,South,limes,720,880,720,590,720,720,880,880,880,720,590,720,720
Arkansas,South,mangos,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,1900,2400
Arkansas,South,olives,480,480,480,590,590,590,480,480,590,480,480,590,590
Arkansas,South,oranges,2400,2400,2400,2400,2900,2900,2400,2400,2900,2400,2400,2400,2400
Arkansas,South,passionfruit,1000,880,1600,880,1000,1000,1300,1300,880,1000,880,1000,1300
Arkansas,South,peaches,1600,1300,1600,1600,1300,1600,1900,1600,2400,1600,1600,1600,1900
Arkansas,South,pears,590,720,720,590,720,720,480,480,880,480,590,720,720
Arkansas,South,pineapples,2400,2900,2900,2400,2400,2400,2900,2900,2400,2900,1900,2400,2400
Arkansas,South,plums,590,590,720,590,480,590,720,880,590,590,590,720,720
Arkansas,South,pomegranates,1600,1000,1000,1900,1300,1600,1000,1000,1300,1000,2400,1900,1300
Arkansas,South,raspberries,720,720,720,590,720,720,880,1000,880,880,590,590,590
Arkansas,South,strawberries,2400,2900,1900,1600,2900,2400,2400,2900,2900,2900,1600,1900,1900
Arkansas,South,tomatoes,1600,1600,1600,1000,1300,1300,1900,1600,1600,1600,1000,1300,1300
Arkansas,South,watermelons,1900,1600,2400,880,1300,1300,3600,2900,1900,2400,1000,1300,1600
Arizona,West,acerolas,10,20,10,10,10,10,10,10,20,20,20,10,10
Arizona,West,apples,135000,74000,246000,135000,74000,90500,74000,74000,90500,74000,135000,90500,301000
Arizona,West,apricots,2400,1900,2400,1600,1900,1900,2900,3600,1900,2900,1600,1900,2400
Arizona,West,avocados,8100,9900,8100,6600,8100,9900,8100,8100,9900,9900,8100,8100,8100
Arizona,West,bananas,12100,12100,9900,9900,12100,12100,9900,9900,14800,12100,9900,9900,9900
Arizona,West,blackberries,8100,9900,9900,5400,6600,6600,9900,8100,6600,9900,6600,9900,9900
Arizona,West,blueberries,4400,4400,4400,2900,4400,4400,4400,4400,5400,4400,3600,3600,3600
Arizona,West,cantaloupes,2900,2900,2900,1600,2400,2400,3600,4400,2900,2900,1900,2400,2400
Arizona,West,cherries,3600,2400,3600,2900,3600,3600,4400,3600,3600,3600,2900,2900,2900
Arizona,West,coconuts,3600,3600,4400,3600,3600,3600,6600,3600,4400,3600,3600,3600,3600
Arizona,West,figs,6600,5400,8100,8100,6600,6600,8100,6600,8100,6600,8100,6600,6600
Arizona,West,grapefruits,2900,2400,2400,2400,4400,4400,1900,2400,4400,2400,1900,1900,1900
Arizona,West,grapes,2900,2900,2900,1900,2900,2900,2900,2900,2900,2900,2400,2900,3600
Arizona,West,guava,3600,3600,3600,2900,2900,2900,3600,3600,3600,2900,2900,3600,2900
Arizona,West,kiwifruit,590,720,590,480,590,590,720,880,590,880,590,480,480
Arizona,West,lemons,5400,5400,4400,4400,5400,5400,4400,4400,6600,5400,4400,4400,4400
Arizona,West,limes,2400,2400,2400,1900,2400,2900,2400,2400,2900,2400,2400,2400,2400
Arizona,West,mangos,6600,6600,8100,6600,8100,6600,6600,6600,8100,6600,6600,6600,6600
Arizona,West,olives,2400,1900,1900,2400,2400,2400,1900,1900,2400,1900,2900,2400,2400
Arizona,West,oranges,8100,8100,8100,8100,9900,9900,8100,8100,12100,8100,8100,9900,9900
Arizona,West,passionfruit,4400,4400,4400,3600,5400,4400,4400,5400,4400,5400,4400,4400,4400
Arizona,West,peaches,5400,4400,5400,5400,5400,5400,5400,5400,8100,5400,5400,5400,6600
Arizona,West,pears,1900,1900,1900,1900,1900,2400,1300,1600,2400,1900,1900,2400,1900
Arizona,West,pineapples,8100,9900,9900,6600,6600,8100,9900,9900,8100,9900,6600,8100,8100
Arizona,West,plums,1900,1900,2900,1600,1600,1600,2900,2400,1900,1900,1900,2400,2400
Arizona,West,pomegranates,5400,4400,4400,6600,5400,5400,3600,3600,4400,4400,12100,8100,5400
Arizona,West,raspberries,2400,2400,2900,2400,2900,2900,2400,2900,2900,2900,2400,2400,2400
Arizona,West,strawberries,8100,8100,6600,5400,8100,8100,8100,8100,8100,9900,5400,6600,6600
Arizona,West,tomatoes,4400,4400,4400,3600,5400,4400,3600,4400,6600,4400,4400,4400,4400
Arizona,West,watermelons,5400,5400,6600,2900,4400,3600,8100,8100,5400,6600,3600,4400,5400
California,West,acerolas,140,90,170,110,110,140,170,140,140,140,140,110,110
California,West,apples,1000000,673000,1220000,1220000,673000,823000,673000,823000,823000,823000,1220000,1000000,2240000
California,West,apricots,18100,18100,22200,12100,14800,14800,33100,33100,18100,22200,14800,14800,18100
California,West,avocados,60500,74000,60500,49500,60500,60500,60500,60500,74000,60500,49500,60500,60500
California,West,bananas,74000,90500,74000,74000,74000,90500,74000,74000,135000,90500,74000,74000,74000
California,West,blackberries,60500,60500,60500,49500,49500,49500,60500,60500,49500,60500,49500,60500,74000
California,West,blueberries,33100,33100,33100,22200,33100,33100,33100,33100,40500,40500,27100,27100,27100
California,West,cantaloupes,18100,18100,27100,12100,18100,14800,27100,27100,22200,22200,14800,18100,22200
California,West,cherries,27100,22200,27100,22200,22200,22200,33100,33100,27100,33100,22200,22200,22200
California,West,coconuts,22200,22200,22200,22200,22200,22200,40500,22200,22200,22200,18100,22200,22200
California,West,figs,74000,49500,90500,74000,60500,60500,74000,60500,74000,60500,74000,74000,74000
California,West,grapefruits,18100,18100,18100,18100,22200,27100,18100,18100,22200,22200,18100,14800,18100
California,West,grapes,22200,18100,22200,18100,18100,22200,18100,18100,27100,22200,22200,22200,22200
California,West,guava,27100,27100,27100,33100,27100,27100,27100,22200,27100,22200,40500,40500,27100
California,West,kiwifruit,4400,4400,3600,2900,3600,3600,4400,5400,4400,5400,4400,3600,3600
California,West,lemons,40500,40500,40500,33100,40500,40500,40500,40500,49500,40500,33100,33100,33100
California,West,limes,27100,27100,27100,22200,22200,27100,27100,27100,27100,27100,22200,27100,27100
California,West,mangos,74000,74000,74000,74000,90500,90500,74000,74000,74000,90500,90500,90500,74000
California,West,olives,14800,14800,14800,18100,14800,14800,14800,14800,22200,14800,18100,14800,14800
California,West,oranges,74000,60500,60500,60500,74000,74000,60500,60500,110000,60500,60500,74000,60500
California,West,passionfruit,49500,40500,60500,33100,40500,40500,60500,49500,40500,49500,49500,60500,60500
California,West,peaches,40500,33100,40500,40500,33100,40500,40500,40500,60500,40500,33100,40500,40500
California,West,pears,14800,14800,14800,14800,14800,14800,12100,12100,22200,14800,14800,18100,18100
California,West,pineapples,60500,60500,60500,49500,49500,49500,60500,60500,60500,74000,49500,49500,49500
California,West,plums,18100,18100,27100,12100,14800,12100,33100,22200,14800,18100,14800,18100,22200
California,West,pomegranates,40500,27100,27100,49500,33100,33100,27100,27100,27100,27100,74000,74000,40500
California,West,raspberries,22200,22200,22200,18100,22200,22200,22200,27100,27100,27100,18100,18100,22200
California,West,strawberries,49500,60500,49500,40500,60500,49500,49500,49500,74000,60500,40500,40500,49500
California,West,tomatoes,33100,33100,33100,27100,33100,33100,33100,33100,60500,33100,27100,33100,33100
California,West,watermelons,40500,33100,49500,22200,27100,27100,60500,49500,40500,49500,27100,33100,40500
Colorado,West,acerolas,10,10,10,20,10,20,20,10,30,10,20,10,10
Colorado,West,apples,110000,60500,246000,110000,74000,74000,74000,74000,90500,74000,110000,90500,301000
Colorado,West,apricots,1600,1600,2400,1300,1300,1300,2900,1900,1600,1600,1300,1600,1900
Colorado,West,avocados,6600,8100,6600,5400,6600,8100,6600,6600,8100,6600,5400,6600,5400
Colorado,West,bananas,9900,9900,9900,9900,9900,9900,8100,9900,14800,9900,8100,8100,8100
Colorado,West,blackberries,6600,6600,8100,5400,5400,5400,6600,6600,5400,6600,5400,8100,8100
Colorado,West,blueberries,2900,3600,2900,2400,2900,2900,3600,3600,4400,3600,2400,2400,2400
Colorado,West,cantaloupes,2400,1900,2900,1300,1900,1600,2900,2400,2400,2400,1300,1600,3600
Colorado,West,cherries,2900,2400,3600,2900,2900,2900,4400,2900,2900,2900,2900,2900,2900
Colorado,West,coconuts,2400,2400,2400,2400,2400,2400,4400,1900,2400,2400,2400,1900,2400
Colorado,West,figs,4400,3600,4400,4400,4400,4400,4400,3600,4400,3600,4400,4400,4400
Colorado,West,grapefruits,1900,1600,1900,1900,1900,2400,1600,1900,2400,1900,1600,1600,1600
Colorado,West,grapes,2400,1900,2400,1900,2400,2400,1900,1900,2900,1900,1900,2400,2400
Colorado,West,guava,2400,2900,2400,2400,2400,2400,2900,2900,2400,2400,2400,1900,1900
Colorado,West,kiwifruit,480,480,390,390,480,480,480,590,480,590,480,390,320
Colorado,West,lemons,3600,3600,3600,3600,3600,3600,3600,3600,5400,4400,2900,3600,3600
Colorado,West,limes,2900,2900,2900,2900,2900,2900,3600,2900,3600,2900,2400,2900,2900
Colorado,West,mangos,5400,5400,5400,5400,6600,6600,5400,5400,6600,5400,5400,5400,5400
Colorado,West,olives,1600,1300,1300,1600,1600,1600,1300,1300,1900,1300,1600,1300,1300
Colorado,West,oranges,6600,6600,6600,6600,6600,6600,5400,5400,9900,6600,6600,8100,6600
Colorado,West,passionfruit,3600,3600,3600,2900,3600,3600,3600,3600,3600,3600,2900,2900,2900
Colorado,West,peaches,4400,3600,6600,4400,3600,4400,4400,3600,5400,3600,3600,4400,5400
Colorado,West,pears,1600,1900,1600,1900,1600,1900,1000,1300,2400,1300,1900,1900,1900
Colorado,West,pineapples,6600,8100,8100,6600,5400,6600,8100,8100,8100,8100,6600,6600,6600
Colorado,West,plums,1600,1600,2400,1300,1600,1300,1900,1600,1600,1600,1600,1600,2400
Colorado,West,pomegranates,3600,2900,2400,6600,3600,3600,2400,2400,2900,2400,8100,4400,2900
Colorado,West,raspberries,2400,2400,2400,1900,2400,2400,2400,2900,2900,2400,1900,1900,1900
Colorado,West,strawberries,5400,6600,5400,4400,5400,5400,5400,6600,6600,6600,4400,4400,4400
Colorado,West,tomatoes,3600,3600,4400,2900,3600,3600,3600,3600,5400,4400,2900,3600,4400
Colorado,West,watermelons,4400,3600,5400,2400,2900,2900,6600,5400,5400,5400,2400,2900,3600
Connecticut,Northeast,acerolas,30,30,50,30,30,20,30,50,20,30,30,20,30
